Symbol,Name
164,BRYN.F,Berkshire Hathaway Inc.
165,BRYN.DE,Berkshire Hathaway Inc.
166,INVP.L,Investec plc
167,BRH.F,Berkshire Hathaway Inc.
168,ACAHJ.PA,Crédit Agricole S.A. 0% BDS
169,SMDS.L,DS Smith Plc
170,PHNX.L,Phoenix Group Holdings
171,MKS.L,Marks and Spencer Group plc
172,JLT.L,Jardine Lloyd Thompson Group plc
173,POLY.L,Polymetal International plc
174,ACAGM.PA,Crédit Agricole S.A. 0% SNR BDS
175,ACAGP.PA,Crédit Agricole S.A. 0% SNR BDS
176,0HCI.L,Alibaba Group Holding Limited
177,GVC.L,GVC Holdings PLC
178,JE.L,Just Eat plc
179,0NX2.L,ABB Ltd
180,0QZI.L,"Facebook, Inc."
181,RMV.L,Rightmove plc
182,AVV.L,AVEVA Group plc
183,0LEA.L,Tencent Holdings Limited
184,MGGT.L,Meggitt PLC
185,SSU.SG,"Samsung Electronics Co., Ltd."
186,BUR.L,Burford Capital Limited
187,CINE.L,Cineworld Group plc
188,FCIT.L,Foreign & Colonial Investment Trust PLC
189,WG.L,John Wood Group PLC
190,ACAGU.PA,Crédit Agricole S.A. 4.1% SNR BDS 17/04/2024 EUR10000
191,FB2A.F,"Facebook, Inc."
192,FB.MI,"Facebook, Inc."
193,FB2A.DE,"Facebook, Inc."
194,ACAFR.PA,Crédit Agricole S.A. 4.25% SNR BDS 04/02/2023 EUR1
195,ACAGO.PA,Crédit Agricole S.A. 4.55% SNR BDS 08/02/2022 EUR1
196,MERL.L,Merlin Entertainments plc
197,DLN.L,Derwent London Plc
198,WEIR.L,The Weir Group PLC
199,ACAJI.PA,Crédit Agricole S.A. 4.5% SNR BDS 29/09/2021 EUR1
200,ACAJN.PA,Crédit Agricole S.A. 3.39% BDS 18/10/23 EUR1
201,ACAFO.PA,Crédit Agricole S.A. 4.2% SNR BDS 28/12/2022 EUR1000
202,BTG.L,BTG plc
203,ACAJP.PA,Crédit Agricole S.A. 3.15% SNR BDS 23/12/2023 EUR1
204,ACAJD.PA,Crédit Agricole S.A. 3.15% SNR BDS 19/07/2023 EUR1
205,ACAFZ.PA,Crédit Agricole S.A. 4.25% SNR BDS 04/07/2021 EUR1000
206,TATE.L,Tate & Lyle plc
207,ACAHM.PA,Crédit Agricole S.A. 3.5% BDS 02/10/2022 EUR1
208,NNN1.F,Tencent Holdings Limited
209,ACAJV.PA,Crédit Agricole S.A. 2.9% BDS 07/05/24 EUR1
210,ACAHQ.PA,Crédit Agricole S.A. 3.15% SNR BDS 29/10/2022 EUR1
211,NNND.F,Tencent Holdings Limited
212,ACAJR.PA,Crédit Agricole S.A. 3.03% SNR EMTN 21/02/2024 EUR1
213,JD.L,JD Sports Fashion plc
214,ACAJY.PA,Crédit Agricole S.A. 2.75% SNR BDS 20/06/2024 EUR1
215,ACAHS.PA,Crédit Agricole S.A. 2.8% NTS 27/12/2022 EUR1
216,CAJAC.PA,Crédit Agricole S.A. 2.75% SNR NTS 17/04/2023 EUR1
217,BWY.L,Bellway p.l.c.
218,ACAGW.PA,Crédit Agricole S.A. 4% SNR BDS 29/06/2021 EUR1
219,AHLA.DE,Alibaba Group Holding Limited
220,AHLA.F,Alibaba Group Holding Limited
221,ACAFF.PA,Crédit Agricole S.A.
222,PNN.L,Pennon Group Plc
223,0R1M.L,Exxon Mobil Corporation
