,Symbol,Name
147,8801.T,"Mitsui Fudosan Co., Ltd."
148,8802.T,"Mitsubishi Estate Co., Ltd."
149,1925.T,"Daiwa House Industry Co.,Ltd."
150,6752.T,Panasonic Corporation
151,4543.T,Terumo Corporation
152,4568.T,"Daiichi Sankyo Company, Limited"
153,6273.T,SMC Corporation
154,6301.T,Komatsu Ltd.
155,8113.T,Unicharm Corporation
156,8591.T,ORIX Corporation
157,8035.T,Tokyo Electron Limited
158,2503.T,"Kirin Holdings Company, Limited"
159,6971.T,Kyocera Corporation
160,9735.T,"SECOM CO., LTD."
161,8750.T,"Dai-ichi Life Holdings, Inc."
162,2502.T,"Asahi Group Holdings, Ltd."
163,5020.T,"JXTG Holdings, Inc."
164,8053.T,Sumitomo Corporation
165,4507.T,"Shionogi & Co., Ltd."
166,6326.T,Kubota Corporation
167,8830.T,"Sumitomo Realty & Development Co., Ltd."
168,8725.T,"MS&AD Insurance Group Holdings, Inc."
169,6502.T,Toshiba Corporation
170,7270.T,Subaru Corporation
171,8267.T,"Aeon Co., Ltd."
172,4901.T,FUJIFILM Holdings Corporation
173,8028.T,"FamilyMart UNY Holdings Co., Ltd."
174,9613.T,NTT DATA Corporation
175,5401.T,Nippon Steel & Sumitomo Metal Corporation
176,8421.T,Shinkin Central Bank
177,6201.T,Toyota Industries Corporation
178,3407.T,Asahi Kasei Corporation
179,9843.T,"Nitori Holdings Co., Ltd."
180,2587.T,Suntory Beverage & Food Limited
181,7181.T,"Japan Post Insurance Co., Ltd."
182,8309.T,"Sumitomo Mitsui Trust Holdings, Inc."
183,9021.T,West Japan Railway Company
184,9503.T,"The Kansai Electric Power Company, Incorporated"
185,7309.T,Shimano Inc.
186,1605.T,Inpex Corporation
187,6702.T,Fujitsu Limited
188,4689.T,Yahoo Japan Corporation
189,4506.T,"Sumitomo Dainippon Pharma Co., Ltd."
190,4324.T,Dentsu Inc.
191,9201.T,"Japan Airlines Co., Ltd."
192,8002.T,Marubeni Corporation
193,8604.T,"Nomura Holdings, Inc."
194,7011.T,"Mitsubishi Heavy Industries, Ltd."
195,9202.T,ANA Holdings Inc.
196,2269.T,"Meiji Holdings Co., Ltd."
197,3659.T,"NEXON Co., Ltd."
198,9531.T,"Tokyo Gas Co., Ltd."
199,2267.T,"Yakult Honsha Co.,Ltd."
200,7203.T,Toyota Motor Corporation
201,9437.T,"NTT DOCOMO, INC."
202,9432.T,Nippon Telegraph and Telephone Corporation
203,9984.T,SoftBank Group Corp.
204,8306.T,"Mitsubishi UFJ Financial Group, Inc."
205,6758.T,Sony Corporation
206,6861.T,Keyence Corporation
207,9433.T,KDDI Corporation
208,9434.T,SoftBank Corp.
209,9983.T,"Fast Retailing Co., Ltd."
210,6178.T,"Japan Post Holdings Co., Ltd."
211,7267.T,"Honda Motor Co., Ltd."
212,8316.T,"Sumitomo Mitsui Financial Group, Inc."
213,8058.T,Mitsubishi Corporation
214,2914.T,Japan Tobacco Inc.
215,9022.T,Central Japan Railway Company
216,7182.T,"JAPAN POST BANK Co.,Ltd."
217,6098.T,"Recruit Holdings Co., Ltd."
218,8411.T,"Mizuho Financial Group, Inc."
219,3382.T,"Seven & i Holdings Co., Ltd."
220,4452.T,Kao Corporation
221,8686.T,Aflac Incorporated
222,6902.T,DENSO Corporation
223,8766.T,"Tokio Marine Holdings, Inc."
224,9020.T,East Japan Railway Company
225,6594.T,Nidec Corporation
226,4063.T,"Shin-Etsu Chemical Co., Ltd."
227,4661.T,"Oriental Land Co., Ltd."
228,7974.T,"Nintendo Co., Ltd."
229,4519.T,"Chugai Pharmaceutical Co., Ltd."
230,7201.T,"Nissan Motor Co., Ltd."
231,6367.T,"Daikin Industries,Ltd."
232,7751.T,Canon Inc.
233,6954.T,Fanuc Corporation
234,6981.T,"Murata Manufacturing Co., Ltd."
235,5108.T,Bridgestone Corporation
236,8031.T,"Mitsui & Co., Ltd."
237,4502.T,Takeda Pharmaceutical Company Limited
238,8001.T,ITOCHU Corporation
239,6501.T,"Hitachi, Ltd."
240,4911.T,"Shiseido Company, Limited"
241,4503.T,Astellas Pharma Inc.
242,6503.T,Mitsubishi Electric Corporation
243,7269.T,Suzuki Motor Corporation
244,7741.T,HOYA Corporation
245,4523.T,"Eisai Co., Ltd."
246,4578.T,"Otsuka Holdings Co., Ltd."
247,8801.T,"Mitsui Fudosan Co., Ltd."
248,8802.T,"Mitsubishi Estate Co., Ltd."
249,1925.T,"Daiwa House Industry Co.,Ltd."
250,6752.T,Panasonic Corporation
251,4543.T,Terumo Corporation
252,4568.T,"Daiichi Sankyo Company, Limited"
253,6273.T,SMC Corporation
254,6301.T,Komatsu Ltd.
255,8113.T,Unicharm Corporation
256,8591.T,ORIX Corporation
257,8035.T,Tokyo Electron Limited
258,2503.T,"Kirin Holdings Company, Limited"
259,6971.T,Kyocera Corporation
260,9735.T,"SECOM CO., LTD."
261,8750.T,"Dai-ichi Life Holdings, Inc."
262,2502.T,"Asahi Group Holdings, Ltd."
263,5020.T,"JXTG Holdings, Inc."
264,8053.T,Sumitomo Corporation
265,4507.T,"Shionogi & Co., Ltd."
266,6326.T,Kubota Corporation
267,8830.T,"Sumitomo Realty & Development Co., Ltd."
268,8725.T,"MS&AD Insurance Group Holdings, Inc."
269,6502.T,Toshiba Corporation
270,7270.T,Subaru Corporation
271,8267.T,"Aeon Co., Ltd."
272,4901.T,FUJIFILM Holdings Corporation
273,8028.T,"FamilyMart UNY Holdings Co., Ltd."
274,9613.T,NTT DATA Corporation
275,5401.T,Nippon Steel & Sumitomo Metal Corporation
276,8421.T,Shinkin Central Bank
277,6201.T,Toyota Industries Corporation
278,3407.T,Asahi Kasei Corporation
279,9843.T,"Nitori Holdings Co., Ltd."
280,2587.T,Suntory Beverage & Food Limited
281,7181.T,"Japan Post Insurance Co., Ltd."
282,8309.T,"Sumitomo Mitsui Trust Holdings, Inc."
283,9021.T,West Japan Railway Company
284,9503.T,"The Kansai Electric Power Company, Incorporated"
285,7309.T,Shimano Inc.
286,1605.T,Inpex Corporation
287,6702.T,Fujitsu Limited
288,4689.T,Yahoo Japan Corporation
289,4506.T,"Sumitomo Dainippon Pharma Co., Ltd."
290,4324.T,Dentsu Inc.
291,9201.T,"Japan Airlines Co., Ltd."
292,8002.T,Marubeni Corporation
293,8604.T,"Nomura Holdings, Inc."
294,7011.T,"Mitsubishi Heavy Industries, Ltd."
295,9202.T,ANA Holdings Inc.
296,2269.T,"Meiji Holdings Co., Ltd."
297,3659.T,"NEXON Co., Ltd."
298,9531.T,"Tokyo Gas Co., Ltd."
299,2267.T,"Yakult Honsha Co.,Ltd."
300,7203.T,Toyota Motor Corporation
301,9437.T,"NTT DOCOMO, INC."
302,9432.T,Nippon Telegraph and Telephone Corporation
303,9984.T,SoftBank Group Corp.
304,8306.T,"Mitsubishi UFJ Financial Group, Inc."
305,6758.T,Sony Corporation
306,6861.T,Keyence Corporation
307,9433.T,KDDI Corporation
308,9434.T,SoftBank Corp.
309,9983.T,"Fast Retailing Co., Ltd."
310,6178.T,"Japan Post Holdings Co., Ltd."
311,7267.T,"Honda Motor Co., Ltd."
312,8316.T,"Sumitomo Mitsui Financial Group, Inc."
313,8058.T,Mitsubishi Corporation
314,2914.T,Japan Tobacco Inc.
315,9022.T,Central Japan Railway Company
316,7182.T,"JAPAN POST BANK Co.,Ltd."
317,6098.T,"Recruit Holdings Co., Ltd."
318,8411.T,"Mizuho Financial Group, Inc."
319,3382.T,"Seven & i Holdings Co., Ltd."
320,4452.T,Kao Corporation
321,8686.T,Aflac Incorporated
322,6902.T,DENSO Corporation
323,8766.T,"Tokio Marine Holdings, Inc."
324,9020.T,East Japan Railway Company
325,6594.T,Nidec Corporation
326,4063.T,"Shin-Etsu Chemical Co., Ltd."
327,4661.T,"Oriental Land Co., Ltd."
328,7974.T,"Nintendo Co., Ltd."
329,4519.T,"Chugai Pharmaceutical Co., Ltd."
330,7201.T,"Nissan Motor Co., Ltd."
