,Symbol,Name
1899,HDFCLIFE.NS,HDFC Standard Life Insurance Company Limited
1900,TCS.NS,Tata Consultancy Services Limited
1901,TCS.BO,Tata Consultancy Services Limited
1902,RELIANCE.BO,Reliance Industries Limited
1903,RELIANCE.NS,Reliance Industries Limited
1904,2330.TW,Taiwan Semiconductor Manufacturing Company Limited
1905,HDFCBANK.BO,HDFC Bank Limited
1906,HDFCBANK.NS,HDFC Bank Limited
1907,HINDUNILVR.NS,Hindustan Unilever Limited
1908,HINDUNILVR.BO,Hindustan Unilever Limited
1909,ITC.NS,ITC Limited
1910,ITC.BO,ITC Limited
1911,HDFC.NS,Housing Development Finance Corporation Limited
1912,HDFC.BO,Housing Development Finance Corporation Limited
1913,0700.HK,Tencent Holdings Limited
1914,INFY.BO,Infosys Limited
1915,INFY.NS,Infosys Limited
1916,SBIN.NS,State Bank of India
1917,SBIN.BO,State Bank of India
1918,KOTAKBANK.NS,Kotak Mahindra Bank Limited
1919,KOTAKBANK.BO,Kotak Mahindra Bank Limited
1920,ICICIBANK.BO,ICICI Bank Limited
1921,ICICIBANK.NS,ICICI Bank Limited
1922,MARUTI.BO,Maruti Suzuki India Limited
1923,MARUTI.NS,Maruti Suzuki India Limited
1924,LT.NS,Larsen & Toubro Limited
1925,LT.BO,Larsen & Toubro Limited
1926,ONGC.NS,Oil and Natural Gas Corporation Limited
1927,ONGC.BO,Oil and Natural Gas Corporation Limited
1928,1398.HK,Industrial and Commercial Bank of China Limited
1929,0939.HK,China Construction Bank Corporation
1930,STAN.BO,Standard Chartered PLC
1931,AXISBANK.NS,Axis Bank Limited
1932,AXISBANK.BO,Axis Bank Limited
1933,601939.SS,China Construction Bank Corporation
1934,COALINDIA.NS,Coal India Limited
1935,601398.SS,Industrial and Commercial Bank of China Limited
1936,COALINDIA.BO,Coal India Limited
1937,0941.HK,China Mobile Limited
1938,BAJFINANCE.NS,Bajaj Finance Limited
1939,BAJFINANCE.BO,Bajaj Finance Limited
1940,WIPRO.NS,Wipro Limited
1941,WIPRO.BO,Wipro Limited
1942,0857.HK,PetroChina Company Limited
